# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:08,386;40;A503BC0C02000000
02:15:08,396;40;A503BB0C02000000
02:15:08,406;40;A503BA0C02000000
02:15:08,416;40;A603BF0C02000000
02:15:08,426;40;A603B10C02000000
02:15:08,436;40;A603C10C02000000
02:15:08,446;40;A603B70C02000000
02:15:08,456;40;A603BB0C02000000
02:15:08,463;40;A603B70C02000000
02:15:08,473;40;A603B20C02000000
02:15:08,483;40;A603B10C02000000
02:15:08,493;40;A603B40C02000000
02:15:08,503;40;A603B80C02000000
02:15:08,513;40;A703B70C02000000
02:15:08,523;40;A703B60C02000000
02:15:08,533;40;A703B40C02000000
02:15:08,543;40;A703B60C02000000
02:15:08,553;40;A703B30C02000000
02:15:08,566;40;A703B40C02000000
02:15:08,576;40;A703B80C02000000
02:15:08,585;40;A703BB0C02000000
02:15:08,596;40;A703B60C02000000
02:15:08,606;40;A703B50C02000000
02:15:08,616;40;A803B40C02000000
02:15:08,626;40;A803BB0C02000000
02:15:08,636;40;A803BC0C02000000
02:15:08,646;40;A803B60C02000000
02:15:08,656;40;A803B30C02000000
02:15:08,665;40;A803B60C02000000
02:15:08,673;40;A803B70C02000000
02:15:08,683;40;A803B30C02000000
02:15:08,693;40;A803B00C02000000
02:15:08,703;40;A803B50C02000000
02:15:08,713;40;A903B20C02000000
02:15:08,723;40;A903AE0C02000000
02:15:08,733;40;A903B10C02000000
02:15:08,743;40;A903B70C02000000
02:15:08,753;40;A903B20C02000000
02:15:08,766;40;A903B10C02000000
02:15:08,776;40;A903B50C02000000
02:15:08,786;40;A903B20C02000000
02:15:08,795;40;A903B40C02000000
02:15:08,806;40;A903B40C02000000
02:15:08,816;40;AA03B90C02000000
02:15:08,826;40;AA03B60C02000000
02:15:08,835;40;AA03BB0C02000000
02:15:08,846;40;AA03B80C02000000
02:15:08,856;40;AA03AD0C02000000
02:15:08,866;40;AA03AA0C02000000
02:15:08,873;40;AA03A90C02000000
02:15:08,883;40;AA03A80C02000000
02:15:08,893;40;AA03AB0C02000000
02:15:08,903;40;AA03AF0C02000000
02:15:08,913;40;AB03A90C02000000
02:15:08,923;40;AB03AA0C02000000
02:15:08,933;40;AB03A90C02000000
02:15:08,943;40;AB03B10C02000000
02:15:08,953;40;AB03AE0C02000000
02:15:08,966;40;AB03AA0C02000000
02:15:08,976;40;AB03AE0C02000000
02:15:08,986;40;AB03AA0C02000000
02:15:08,996;40;AB03AF0C02000000
02:15:09,006;40;AB03A90C02000000
02:15:09,016;40;AC03AC0C02000000
02:15:09,026;40;AC03AC0C02000000
02:15:09,036;40;AC03AE0C02000000
02:15:09,045;40;AC03AF0C02000000
02:15:09,056;40;AC03AB0C02000000
02:15:09,066;40;AC03AE0C02000000
02:15:09,073;40;AC03A60C02000000
02:15:09,084;40;AC03AA0C02000000
02:15:09,093;40;AC03A80C02000000
02:15:09,103;40;AC03AB0C02000000
02:15:09,113;40;AD03AC0C02000000
02:15:09,123;40;AD03AC0C02000000
02:15:09,133;40;AD03A60C02000000
02:15:09,143;40;AD03AB0C02000000
02:15:09,153;40;AD03AD0C02000000
02:15:09,163;40;AD03AB0C02000000
02:15:09,176;AD03AD0C02000000
02:15:09,186;40;AD03AA0C02000000
02:15:09,196;40;AD03AD0C02000000
02:15:09,206;40;AD03A90C02000000
02:15:09,216;40;AE03AF0C02000000
02:15:09,226;40;AE03AE0C02000000
02:15:09,236;40;AE03A80C02000000
02:15:09,246;40;AE03AC0C02000000
02:15:09,256;40;AE03AB0C02000000
02:15:09,266;40;AE03AB0C02000000
02:15:09,273;40;AE03A90C02000000
02:15:09,283;40;AE03AA0C02000000
02:15:09,293;40;AE03AC0C02000000
02:15:09,303;40;AE03AA0C02000000
02:15:09,313;40;AF03A50C02000000

02:15:09,323;40;AF03A40C0200000000
02:15:09,336;40;AF03A60C02000000
02:15:09,343;40;AF03A30C02000000
02:15:09,353;40;AF03A70C02000000
02:15:09,363;40;AF03A60C02000000
02:15:09,376;40;AF03A50C02000000
02:15:09,386;40;AF03AB0C02000000
02:15:09,396;40;AF03A80C02000000
02:15:09,406;40;AF03A70C02000000
02:15:09,416;40;B003A40C02000000
02:15:09,426;40;B003A90C02000000
02:15:09,436;40;B003A80C02000000
02:15:09,446;40;B003A60C02000000
02:15:09,456;40;B003A90C02000000
02:15:09,466;40;B003A90C02000000
02:15:09,473;40;B003A30C02000000
02:15:09,483;40;B003A40C02000000
02:15:09,493;40;B003A00C02000000
02:15:09,503;40;B003A30C02000000
02:15:09,513;40;B103A00C02000000
02:15:09,523;40;B103A10C02000000
02:15:09,533;40;B103A40C02000000
02:15:09,543;40;B103A20C02000000
02:15:09,553;40;B103A40C02000000
02:15:09,563;40;B1039E0C02000000
02:15:09,576;40;B1039D0C02000000
02:15:09,585;40;B103A20C02000000
02:15:09,595;40;B103A30C02000000
02:15:09,606;40;B103A10C02000000
02:15:09,616;40;B2039F0C02000000
02:15:09,626;40;B203A40C02000000
02:15:09,636;40;B203B70C02000000
02:15:09,646;40;B2039E0C02000000
02:15:09,656;40;B203A70C02000000
02:15:09,666;40;B203A00C02000000
02:15:09,673;40;B203A00C02000000
02:15:09,683;40;B2039B0C02000000
02:15:09,693;40;B2039F0C02000000
02:15:09,703;40;B203A00C02000000
02:15:09,713;40;B3039B0C02000000
02:15:09,723;40;B303980C02000000
02:15:09,733;40;B3039C0C02000000
02:15:09,743;40;B3039A0C02000000
02:15:09,753;40;B3039C0C02000000
02:15:09,763;40;B303980C02000000
02:15:09,776;40;B3039D0C02000000
02:15:09,786;40;B3039F0C02000000
02:15:09,796;40;B3039B0C02000000
02:15:09,806;40;B3039F0C02000000
02:15:09,816;40;B403A00C02000000
02:15:09,826;40;B4039F0C02000000
02:15:09,835;40;B4039C0C02000000
02:15:09,846;40;B4039E0C02000000
02:15:09,856;40;B403950C02000000
02:15:09,866;40;B403970C02000000
02:15:09,873;40;B4039D0C02000000
02:15:09,883;40;B4039B0C02000000
02:15:09,893;40;B403950C02000000
02:15:09,903;40;B4039B0C02000000
02:15:09,913;40;B5039B0C02000000
02:15:09,923;40;B5039B0C02000000
02:15:09,933;40;B503990C02000000
02:15:09,943;40;B5039A0C02000000
02:15:09,953;40;B5039B0C02000000
02:15:09,963;40;B503970C02000000
02:15:09,976;40;B5039A0C02000000
02:15:09,986;40;B5039C0C02000000
02:15:09,996;40;B503980C02000000
02:15:10,006;40;B503990C02000000
02:15:10,016;40;B6039C0C02000000
02:15:10,026;40;B603970C02000000
02:15:10,036;40;B6039C0C02000000
02:15:10,046;40;B603990C02000000
02:15:10,056;40;B6039F0C02000000
02:15:10,066;40;B6039C0C02000000
02:15:10,074;40;B603980C02000000
02:15:10,084;40;B6039D0C02000000
02:15:10,093;40;B603A10C02000000
02:15:10,103;40;B603A60C02000000
02:15:10,113;40;B7039A0C02000000
02:15:10,123;40;B7039F0C02000000
02:15:10,133;40;B7039A0C02000000
02:15:10,143;40;B7038F0C02000000
02:15:10,153;40;B703860C02000000
02:15:10,163;40;B7038A0C02000000
02:15:10,176;40;B703870C02000000
